Link,Price,Location,Area,City,Scrapping_Date,Type_of_Agreement,Dwelling_Type,Elevator,Furnishing,Level,Parking_Space,Pets,Rooms_Number,Seller,Refreshed,Date,Negotiations
https://www.olx.plhttps://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-centrum-kielc-ID4piFc.html,1 900,Kielce,95.0,kielce,2025-07-14 00:45:21,wynajem,tenement,0,False,1,no,False,2,private,False,2025-07-05,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowa-kawalerka-gotowa-do-zamieszkania-ID4x5kb.html,2 000,Kielce,27.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,2,no,False,1,private,False,2025-07-01,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-CID3-ID16rtwG.html,750,Kielce,35.0,kielce,2025-07-14 00:45:21,wynajem,block,0,True,4,belonging_on_street,False,2,private,False,2025-07-01,False
https://www.olx.pl/d/oferta/miejsce-garazowe-w-plaza-tower-iii-dostepne-od-zaraz-CID3-ID14YWBi.html,400,Kielce,27.0,kielce,2025-07-14 00:45:23,wynajem,apartment,1,True,0,garage,True,1,private,False,2025-06-30,False
https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-CID3-ID16BdXi.html,2 300,Kielce,67.0,kielce,2025-07-14 00:45:23,wynajem,block,0,True,0,no,False,3,private,False,2025-07-15,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-na-ksm-CID3-ID16wQKu.html,1 700,Kielce,40.0,kielce,2025-07-14 00:45:23,wynajem,block,0,True,3,belonging_on_street,False,2,private,False,2025-07-07,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-kielce-czarnow-CID3-ID16B4UJ.html,1 200,Kielce,29.0,kielce,2025-07-14 00:45:23,wynajem,remaining,0,True,0,belonging_on_street,False,2,private,False,2025-07-15,False
https://www.olx.pl/d/oferta/kawalerka-do-wynajecia-CID3-ID16lYqr.html,1 900,Kielce,25.55,kielce,2025-07-14 00:45:23,wynajem,apartment,1,True,4,no,True,1,private,False,2025-06-24,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajme-nowoczesne-mieszkanie-przy-kazimierza-wielkiego-slichowice-ID4xe09.html,2 700,Kielce,51.0,kielce,2025-07-14 00:45:23,wynajem,apartment,0,True,1,no,False,2,private,False,2025-07-10,False
https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-CID3-ID16r2ZI.html,1 650,Kielce,36.0,kielce,2025-07-14 00:45:23,wynajem,block,1,True,4,no,False,2,private,False,2025-06-30,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/218-9676-omw-ID4vCXy.html,1 300,Kielce,45.0,kielce,2025-07-14 00:45:23,wynajem,block,0,True,0,no,False,2,developers,False,2025-06-25,False
https://www.olx.pl/d/oferta/2-pokojowe-mieszkanie-od-sierpnia-os-kochanowskiego-CID3-ID16rTLS.html,2 000,Kielce,46.0,kielce,2025-07-14 00:45:23,wynajem,block,0,True,1,no,False,2,private,False,2025-07-01,False
https://www.olx.pl/d/oferta/2-pokojowe-ul-zagorska-media-w-cenie-CID3-ID16r3nj.html,2 700,Kielce,45.0,kielce,2025-07-14 00:45:23,wynajem,block,0,True,1,no,False,2,private,False,2025-06-30,False
https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-kielce-ul-wojska-polskiego-CID3-ID16k3NB.html,1 750,Kielce,31.0,kielce,2025-07-14 00:45:23,wynajem,block,1,True,2,no,False,1,private,False,2025-06-21,False
https://www.olx.pl/d/oferta/nowe-mieszkanie-na-wynajem-kielce-ul-warszawska-CID3-ID16gtfK.html,2 500,Kielce,33.0,kielce,2025-07-14 00:45:23,wynajem,block,1,True,0,belonging_on_street,False,2,private,False,2025-06-17,False
https://www.olx.pl/d/oferta/mieszkanie-kielce-wynajem-blisko-ujk-CID3-ID16n29s.html,2 299,Kielce,38.0,kielce,2025-07-14 00:45:23,wynajem,apartment,1,True,3,belonging_on_street,True,2,private,False,2025-06-25,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajme-nowe-3-pokojowe-mieszkanie-47m2-centrum-ul-kozia-z-garazem-ID4uBrs.html,2 900,Kielce,47.38,kielce,2025-07-14 00:45:23,wynajem,apartment,0,True,2,no,False,3,private,False,2025-07-12,False
https://www.olx.pl/d/oferta/kawalerka-ksm-pierwsze-pietro-CID3-ID16B6qA.html,1 300,Kielce,32.0,kielce,2025-07-14 00:45:23,wynajem,block,0,True,4,no,False,1,private,False,2025-07-15,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/komfortowy-apartament-restpark-60m2-ID4lPNA.html,3 700,Kielce,60.0,kielce,2025-07-14 00:45:23,wynajem,apartment,0,True,2,no,False,3,private,False,2025-07-06,False
https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-kielce-47m2-CID3-ID15ycnl.html,1 600,Kielce,47.0,kielce,2025-07-14 00:45:23,wynajem,block,1,True,1,belonging_on_street,True,1,private,False,2025-07-15,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/2-pokoje-garderoba-balkon-po-remoncie-ID4vu7W.html,2 400,Kielce,45.0,kielce,2025-07-14 00:45:23,wynajem,block,0,True,2,no,False,2,developers,False,2025-06-24,False
https://www.olx.pl/d/oferta/wynajme-2-pokojowe-mieszkanie-centrum-gotowe-do-zamieszkania-CID3-ID16r29o.html,1 600,Kielce,42.0,kielce,2025-07-14 00:45:23,wynajem,block,1,True,0,no,False,2,private,False,2025-06-30,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/do-wynajecia-3-pokoje-z-ogrodkiem-nowy-bocianek-ID4vMgP.html,3 000,Kielce,64.0,kielce,2025-07-14 00:45:23,wynajem,apartment,0,False,0,no,False,3,developers,False,2025-07-09,False
